Code,Flag,Info,Contents
SET,0,Member,형사
TALK,0,나,"아, 형사님. 부검 결과가 나왔습니까?"
TALK,0,형사,예. 직접적인 사인은 과다 출혈로 인한 쇼크사라고 합니다.
TALK,0,나,역시 그렇군요... 약물 반응은 없었나요?
TALK,0,형사,"미다졸람, 조피클론, 졸피뎀 외 6개 성분이 발견되었습니다."
TALK,0,나,전부 수면제의 성분이군요.
TALK,0,나,게다가 의사의 처방전이 필요한 것들로만...
TALK,0,형사,또한 의료법상 함께 사용할 수 없는 약물들입니다.
TALK,0,나,살인자로서도 환자로서도 불법만 저지른 사람이군요.
TALK,0,나,하나만 하지는 않는다는 건가...
TALK,0,나,"네, 결과 전달해 주셔서 감사합니다. "
TALK,0,형사,다른 정보가 있다면 공유해 드리겠습니다. 
SET,0,Member,
TALK,0,나,"자, 그럼 이제 교회로 가볼까."
TALK,0,나,피해자는 신앙이 깊다고 했으니 무언가 발견할 수 있을지도 몰라.
TALK,0,나,(마을의 외진 곳에 위치한 교회에 도착했다.)
TALK,0,나,"(작고 허름하지만, 스타인드 글라스를 빛내는 노을은 화려하다.)"
TALK,0,나,마을의 모든 만남은 이 작은 교회에서 시작된다고 했지.
TALK,0,나,일종의 만남의 광장 같은 걸까.
TALK,0,나,(교회를 훑던 중 기도를 하고 있는 목사를 발견한다.)
SET,0,Member,아론
TALK,0,나,"안녕하세요, 목사님."
TALK,0,아론,탐정님이시군요. 저에게 물을 것이 있으신가요?
TALK,0,나,몇 가지 있습니다. 먼저 말씀해 주셔서 감사할 따름이네요.
TALK,0,나,"먼저, 피해자와는 어떤 관계이셨습니까?"
TALK,0,아론,같이 기도드리는 관계였지요. 
TALK,0,아론,"교회 문을 열 시간이 되면, 자매님께서는 기도를 마치고 떠나셨습니다."
TALK,0,아론,그 외의 다른 관계는 없었습니다.
TALK,0,나,피해자는 어떤 사람이었습니까?
TALK,0,아론,"늘 저보다 먼저 교회에 도착해, 신실하게 기도하던 분이셨습니다."
TALK,0,아론,사적으로 이야기한 적은 없어 잘 모르겠군요.
TALK,0,나,그런가요. 혹시 4시에는 어디에 계셨습니까?
TALK,0,아론,한참 자고 있을 시간이군요. 보통 7시에 기상하곤 합니다.
TALK,0,나,8시에는요?
TALK,0,아론,언제나처럼 교회에 막 도착했을 겁니다.
TALK,0,나,답해주셔서 감사합니다.
TALK,0,아론,"예, 그럼... 신의 가호가 있길. (절뚝거리며 일어선다.)"
TALK,0,나,"목사님, 잠시..."
SELECT,0,1,다리는...
SELECT,0,2,(가만히 목사의 다리를 쳐다본다.)
TALK,1,아론,아... 오래전 다쳤던 다리입니다. 신의 자비로 걸을 수 있게 되었지요.
TALK,1,나,그렇군요. ...괜한 것을 물었네요. 죄송합니다.
TALK,1,아론,"하하, 아닙니다. 궁금하실 수 있지요."
TALK,2,아론,질문이 있으신가요?
TALK,2,나,"...아뇨, 아닙니다."
TALK,0,아론,"궁금한 게 있으시다면 언제든 찾아주세요, 탐정님."
