Code,Flag,Info,Contents
SET,0,Member,
TALK,0,나,이제 선택할 시간이다.
TALK,0,나,범인은 누구일까?
SELECT,0,1,제프리
SELECT,0,2,엘레나
SELECT,0,3,아론
SELECT,0,4,가브렐라
SELECT,0,5,맥스
SELECT,0,6,탐정
SET,1,Member,???
TALK,1,???,"<b>어리석은 {n}, 그의 이름은 평화란다. 그 스스로가 평화를 깨뜨리려 할까? 보다 불꽃같은 이를 찾으렴."
SET,2,Member,"엘레나,제프리"
TALK,2,엘레나,"그래요, 내가 죽였어요! 관계가 들통날까 봐 무서워서 죽였다고요!"
TALK,2,제프리,"어떻게 그럴 수가 있습니까? 나는 당신을 사랑했고, 언제나 최선을 다했는데!"
TALK,2,나,"두 분 다 진정하시죠. 제프리 씨, 지금 중요한 건 두 분의 관계가 아닙니다."
TALK,2,제프리,"크흠, 그렇지. 미안합니다."
TALK,2,나,"엘레나 씨, 당신은 외로움을 느꼈을 겁니다."
TALK,2,나,"남편인 제프리 씨는 집에 오래 머무르지 않았고, 친우인 가브렐라 씨도 당신과 자주 만나긴 어려웠겠죠."
TALK,2,엘레나,"하, 그래요. 안 그래도 장애 때문에 절 상대해 주는 사람이 없었는데 말이죠!"
TALK,2,나,"...아뇨, 그건 아닙니다. 장애를 원인으로 돌리는 건 잘못되었어요."
TALK,2,나,"아무튼, 당신은 매일 교회에 가서 기도했을 겁니다. 그러다 보니 아론 씨와 유대감이 생겼겠죠."
TALK,2,제프리,"아무리 그렇다고는 하나 불륜이라니, 불륜이라니! 나는 용납할 수 없습니다!"
TALK,2,나,제프리 씨.
TALK,2,제프리,"아, 아, 미안합니다. 잠시 머리 좀 식히고 오겠습니다."
SET,2,Member,엘레나
TALK,2,나,"남편분도 가셨으니, 마저 얘기해 볼까요."
TALK,2,엘레나,당신의 그 태평한 태도가 정말 열받는 거 알아요?
TALK,2,나,그런 말 많이 듣습니다. 
TALK,2,나,"자, 그래서 엘레나 씨의 살해 동기를 듣고 싶은데요. 직접 말씀해 주시겠습니까?"
TALK,2,나,원하신다면 제가 대신 얘기해도 좋고요.
TALK,2,엘레나,"됐어요, 제가 말하죠. 자백이라니 정말 끔찍한 기분이에요."
TALK,2,나,(그저 싱긋 웃는다.)
TALK,2,엘레나,"어느 날인진 모르겠네요. 남편이랑 싸우고, 목사님한테 슬픔을 토로했던 날이 있어요."
TALK,2,엘레나,목사님은 절 따뜻하게 안아주셨고... 저희는 깊은 유대감으로 이어진 사이가 되었죠.
