Code,Flag,Info,Contents
SET,0,Member,맥스
TALK,0,맥스,여긴 무슨 일이오?
TALK,0,나,"아, 맥스 씨 되십니까? 사건과 관련하여 cctv를 보고자 하는데요."
TALK,0,맥스,cctv 말이오? (표정이 일그러진다.)
TALK,0,나,"네, cctv. 이 마을에선 맥스 씨의 것이 유일하지 않습니까?"
TALK,0,맥스,그렇소. 유일하지. (자랑스러운 듯 어깨를 편다.)
TALK,0,나,마을의 유일한 cctv를 관리하는 분으로서 도움을 주셨으면 합니다.
TALK,0,맥스,"크흠, 진작 그리 말할 것이지. 거 기다려보소. (슬그머니 일어난다.)"
TALK,0,맥스,"자, 됐소. 편하게 보고, 다 보면 부르시오."
TALK,0,나,감사합니다.
SET,0,Member,
TALK,0,나,화질은 별로 좋지 않군. 신원을 파악하기는 어렵겠어.
SELECT,0,1,교회 입구를 확인한다.
SELECT,0,2,마트 입구를 확인한다.
TALK,1,나,교회는 마을 외진 곳에 있다고 했지.
TALK,1,나,<b>4시 1분. 사람 하나가 교회로 들어갔다. 가방을 메고 있어.
TALK,1,나,<b>4시 15분. 또 누군가가 교회로 들어갔군.
TALK,1,나,<b>5시 16분. 들어갔던 사람들 중 한 명이 나왔다.
TALK,1,나,<b>7시. 교회 앞을 지나가는 사람 한 명과... 저건 개인가?
TALK,1,나,"<b>8시 2분. 교회로 들어가는 사람 하나. 보폭이 일정하지 않은 걸 보면, 다리를 다친 건가?"
TALK,2,나,"마트에만 cctv가 있다니, 참 편한 동네야."
TALK,2,나,<b>5시 3분. 마트로 누군가가 들어갔다. ...여기가 24시간 운영하던가?
TALK,2,나,"<b>8시 33분. 아, 마트에서 다시 나오는군. 마트 주인일지도 모르겠어."
TALK,0,나,"좋아, 그럼 다른 곳을 확인해 볼까."
SELECT,0,1,교회 입구를 확인한다.
SELECT,0,2,마트 입구를 확인한다.
TALK,1,나,교회는 마을 외진 곳에 있다고 했지.
TALK,1,나,<b>4시 1분. 사람 하나가 교회로 들어갔다. 가방을 메고 있어.
TALK,1,나,<b>4시 15분. 또 누군가가 교회로 들어갔군.
TALK,1,나,<b>5시 16분. 들어갔던 사람들 중 한 명이 나왔다.
TALK,1,나,<b>7시. 교회 앞을 지나가는 사람 한 명과... 저건 개인가?
TALK,1,나,"<b>8시 2분. 교회로 들어가는 사람 하나. 보폭이 일정하지 않은 걸 보면, 다리를 다친 건가?"
TALK,2,나,"마트에만 cctv가 있다니, 참 편한 동네야."
TALK,2,나,<b>5시 3분. 마트로 누군가가 들어갔다. ...여기가 24시간 운영하던가?
TALK,2,나,"<b>8시 33분. 아, 마트에서 다시 나오는군. 마트 주인일지도 모르겠어."
TALK,0,나,이 정도면 충분하다.
SET,0,Member,맥스
TALK,0,나,자리를 빌려주셔서 고맙습니다.
TALK,0,맥스,"아니, 아니오. 도움이 되었다니 다행이오."
TALK,0,나,"혹, 몇 가지 여쭈어도 되겠습니까?"
TALK,0,맥스,얼마든지.
TALK,0,나,"먼저, 피해자와의 관계는 어떻게 되십니까?"
TALK,0,맥스,에이다 양 말이오? 잘 모르겠소. 딱히 접점이 없으니...
TALK,0,나,그럼 맥스 씨가 보기에 피해자는 어떤 사람이었습니까?
TALK,0,맥스,"거, 잘 모른다니까."
TALK,0,나,"...예, 그렇군요. 다른 질문으로 넘어가겠습니다."
TALK,0,나,다른 사람이 cctv 열람을 요청한 적이 있습니까?
TALK,0,맥스,"어엉? 글쎄, 없던 것 같소. 다들 cctv를 기억조차 못 하니, 원."
TALK,0,나,그렇습니까. 대답 감사합니다. 몇 가지만 더 묻겠습니다.
TALK,0,나,4시에는 어디에 계셨나요?
TALK,0,맥스,4시... 자고 있었나? 아마 4시 30분인가에 일어났을 거요.
TALK,0,나,5시에는요?
TALK,0,맥스,여기로 왔지. 가게를 열어야 하니 말이오.
TALK,0,나,감사합니다. 그럼 7시에도 여기에 계셨나요?
TALK,0,맥스,그렇소. 재고 정리를 하다가 8시에 문을 열었지. 손님은 없던 걸로 기억하오.
TALK,0,나,8시 30분에는 어디에 계셨습니까?
TALK,0,맥스,30분? 글쎄... 손님이 하도 안 와서 잠깐 나갔던 것 같기도 하고...
TALK,0,나,충분한 답이 되었습니다. 감사합니다.
