Code,Flag,Info,Contents
SET,0,Member,가브렐라
TALK,0,나,"안녕하세요, 가브렐라 씨. 피해자를 처음 발견하셨다고 들었습니다."
TALK,0,가브렐라,"아, 탐정님. 안 그래도 찾아뵈려 했는데. 말씀드릴 게 너무 많아요."
TALK,0,나,그렇습니까? 마침 잘 됐군요.
TALK,0,나,"실례가 아니라면, 당시의 일에 대해 여쭈어도 되겠습니까?"
TALK,0,가브렐라,"네, 네, 그럼요. "
TALK,0,가브렐라,"저는 아침마다 뽀삐랑 함께 산책을 하는데, 아, 뽀삐는 저희 강아지 이름이에요."
TALK,0,나,그렇군요. 산책을 하다가 시신을 발견하신 겁니까?
TALK,0,가브렐라,"아, 맞아요. 뽀삐가 짖는 방향에 검은 비닐봉지가 떠내려 오길래 열어봤어요."
TALK,0,나,그리고요?
TALK,0,가브렐라,그 안에는 에이다가 있었어요! 
TALK,0,가브렐라,"오, 신이시여. 그녀는 정말 안쓰러운 영혼이었어요. 그리도 어린 영혼이 떠나다니..!"
TALK,0,나,"예, 알겠습니다. 혹시 피해자와는 어떤 관계이십니까?"
TALK,0,가브렐라,"오, 말만 튼 사이였어요. 늘 혼자 다니길래 먹을 것도 좀 가져다줬죠."
TALK,0,가브렐라,내가 안 찾아가면 얼굴 보기도 힘들었어요.
TALK,0,나,"당신이 생각하기에, 피해자는 어떤 사람이었나요?"
TALK,0,가브렐라,아주 싸늘한 사람이에요. 내가 암만 살갑게 다가가도 싸늘했다니까요?
TALK,0,가브렐라,"저번에 얘기해 보니까, 혼자 있는 게 편하다고 하더라고요."
TALK,0,가브렐라,"아, 맞아요. 그리고 신을 많이 믿는 것 같았어요."
TALK,0,나,답변 감사합니다. 혹시 4시에는 어디에 계셨나요?
TALK,0,가브렐라,4시라면 자고 있었겠죠? 6시 30분인가에 일어나서 산책 갈 준비를 하니까요.
TALK,0,나,7시에는 산책을 하고 계셨고요.
TALK,0,가브렐라,"네, 맞아요. 그땐 교회 쪽으로 가는 길이었어요! "
TALK,0,가브렐라,"그러다가 비닐봉지를 발견했고, 오, 불쌍한 에이다."
SELECT,0,1,계속 말을 건다.
SELECT,0,2,떠난다.
TALK,1,가브렐라,"오오, 탐정님. 제발 에이다의 억울한 죽음을 풀어주세요. "
TALK,1,가브렐라,"비록 싸늘한 아이였지만, 저는 알아요. 그녀는 무척 따스한 영혼이었어요..!!!"
TALK,1,나,"...네, 알겠습니다."
TALK,2,나,"네, 알겠습니다. 감사합니다."
SET,0,Member,
TALK,0,나,...말이 많으신 분이군. (한숨) 시신에 대한 건 형사에게 물어야겠어.
SET,0,Member,형사
TALK,0,형사,"{n}씨, 기다리고 있었습니다."
TALK,0,나,시신은 검시과로 보냈습니까?
TALK,0,형사,예. 부검 결과는 시간이 조금 걸린다고 합니다.
TALK,0,나,그런가요. 형사님께서는 신고를 받은 뒤 가장 먼저 도착하신 걸로 압니다. 
TALK,0,나,시신의 상태는 어땠나요.
TALK,0,형사,시반이 보이기 시작했으나 심하게 부패된 곳은 없었습니다.
TALK,0,형사,"옷도 입고 있었고, 얼굴도 신원 확인이 가능할 정도였습니다."
TALK,0,나,"관통상인 걸로 아는데, 맞습니까?"
TALK,0,형사,"예. 목이 꿰뚫려 있었고, 시신 전체가 피로 물들어 있었습니다. "
TALK,0,나,무기는?
TALK,0,형사,근처에는 없었습니다. 아직 발견하지 못한 상태입니다.
TALK,0,나,그렇군요... 알겠습니다. 충분한 도움이 되었습니다.
TALK,0,형사,"예, 그럼. 부검 결과가 나오면 다시 말씀드리겠습니다."
