Code,Flag,Info,Contents
SET,0,Member,
TALK,0,나,"단서가 없군, 단서가 없어."
TALK,0,나,(주위를 두리번거린다.)
TALK,0,나,...음? 저 문은 뭐지?
SET,0,Member,아론
TALK,0,나,"목사님, 저쪽에 있는 작은 문은 어디로 통하는 거죠?"
TALK,0,아론,교회의 지하실입니다. 
TALK,0,아론,"아주 예전에, 마을에 새로운 사람들이 오면 그들을 대접하는 용도로 쓰였지요. "
TALK,0,아론,마을 사람들이 모여 이야기를 나누기도 했고요.
TALK,0,나,"지금은 안 쓰는 것 같은데, 이유가 있습니까?"
TALK,0,아론,"5년 전부터 마을에 오는 사람의 수도 줄고, 마을 사람들도 대부분 떠났습니다."
TALK,0,아론,굳이 열어둘 이유가 없어 문을 닫았지요.
TALK,0,아론,아마 지금은 마을 사람들 모두가 잊고 있는 장소일 겁니다.
TALK,0,나,지하실 열쇠는 목사님이 갖고 계십니까?
TALK,0,아론,"아니요, 열쇠는 잃어버린 지 오래입니다. 문이 잠겨 있던가요?"
TALK,0,나,아직 확인해 보지 않았습니다. 지금 열어보도록 하죠.
SET,0,Member,
TALK,0,나,(문을 연다) ...이게 뭐지? 핏자국?
TALK,0,나,테이블과 의자의 원래 색을 알아볼 수 없을 정도야.
TALK,0,나,"누가 보아도, 여긴 살인이 벌어진 장소이다."
TALK,0,나,"테이블에는... 컵 두 잔과 과일 접시, 그리고 피가 묻은 과도인가."
TALK,0,나,범인이 누구인진 몰라도 참 급했던 모양이야. 
TALK,0,나,"잠깐, 저건 뭐지? (허리를 숙여 테이블 밑을 확인한다.)"
TALK,0,나,"피 묻은 수첩이라니, 피해자 혹은 범인의 것일 확률이 크다."
TALK,0,나,<b>나 여호와가 말하노라. 너희를 향한 나의 생각은 내가 아나니.
TALK,0,나,"<b>재앙이 아니라 곧 평안이요, 너희 장래에 소망을 주려 하는 생각이라."
TALK,0,나,...종교는 잘 모르지만. 
TALK,0,나,수첩의 첫 장부터 이런 글귀라면 꽤나 신실한 사람이었겠네.
TALK,0,나,계속 읽어볼까.
SELECT,0,1,읽는다.
SELECT,0,2,그만둔다.
TALK,1,나,중요한 증거일지도 모르니 읽어야지.
TALK,2,나,"읽지 말아야 하나. ...아니, 증거일지도 모르니 읽어야 한다."
TALK,0,나,"<b> 0월 0일.
오늘 역시 일어나자마자 새벽 기도를 드리기 위해 교회에 갔다."
TALK,0,나,<b>항상 그렇듯 기도가 끝나가는 8시에 목사님이 들어오셨다.
TALK,0,나,"<b>목사님께서는 매일 같은 시간에 교회 문을 열러 오시고, 나는 그전에 기도를 끝낸다."
TALK,0,나,<b>반복되는 일상이었다.
TALK,0,나,일기장이었군. 계속 읽을까?
SELECT,0,1,읽는다.
SELECT,0,2,그만둔다.
TALK,1,나,"어차피 읽기 시작한 것, 계속 읽는 게 마땅하다."
TALK,2,나,"사생활을 알게 되어 미안하지만, 혹시 모르니 마저 읽자."
TALK,0,나,"<b> 0월 0일.
오늘은 사진을 찍기 위해 교회로 나섰다. 그런데 말도 안 되는 광경을 목격했다."
TALK,0,나,"<b>신의 대리인인 목사님께서 그런 행동을 하시다니, 너무 충격이다."
TALK,0,나,<b>이건 말도 안 되는 신성모독이다.
TALK,0,나,...무슨 일이지?
TALK,0,나,"<b> 0월 0일.
목사님에게 연락이 왔다."
TALK,0,나,"<b>개인적으로 연락을 주신 적은 별로 없었는데, 무슨 일이실까?"
TALK,0,나,"<b>""0일 4시에 교회로 와주세요. 자매님과 나눌 이야기가 있습니다."""
TALK,0,나,<b>하실 말씀이 무엇이기에 이런 연락을 주셨을까?
TALK,0,나,<b>역시 어제 보았던 장면 때문일까?
TALK,0,나,"<b>어찌 된 일인지 여쭤봐야겠다. usb도 챙겨가서, 직접 보여드리자."
TALK,0,나,0일이라면 오늘이지. ...이건 피해자의 수첩이었나.
TALK,0,나,이제 피해자의 집으로 갈까.
SELECT,0,1,바로 떠난다.
SELECT,0,2,지하실을 더 살펴본다.
TALK,1,나,"그래, 더 볼 건 없겠지."
TALK,2,나,음? 지하실에 이런 통로가 있었나.
TALK,2,나,수로와 연결되어 있는 것 같고... 여길 통하면 강가로 빠져나갈 수도 있겠는걸.
TALK,2,나,"좋아, 전부 다 살펴봤다. 다른 증거를 찾을 차례야."
